Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Mistral 7B,4bit Static GPTQ,2,0.8065,0.5898,0.6981,5.158,25.3724,5.31,4.03
Mistral 7B,4bit Static GPTQ,3,0.7859,0.5936,0.6898,4.6096,24.5436,5.3,4.03
Mistral 7B,4bit True GPTQ,1,0.8072,0.5775,0.6923,4.5895,24.1399,5.27,4.03
Mistral 7B,4bit True GPTQ,2,0.8016,0.5954,0.6985,4.8552,23.7901,5.26,4.03
Mistral 7B,4bit True GPTQ,3,0.7835,0.5917,0.6876,4.778,23.7985,5.28,4.03
Mistral 7B,4bit Optimized GPTQ,1,0.7959,0.5721,0.684,4.8636,24.3086,5.48,4.03
Mistral 7B,4bit Optimized GPTQ,2,0.7896,0.5704,0.68,5.0225,24.9217,5.54,4.03
Mistral 7B,4bit Optimized GPTQ,3,0.7781,0.5705,0.6743,4.78,23.8627,5.58,4.03
Mistral 7B,4bit Omniquant,1,0.8032,0.5677,0.6854,4.7688,24.481,6.24,7.93
Mistral 7B,4bit Omniquant,2,0.8012,0.5696,0.6854,5.206,26.2808,6.28,7.93
Mistral 7B,4bit Omniquant,3,0.7812,0.5727,0.677,4.9381,25.3371,6.35,7.93
Mistral 7B,2bit 5% Spqr,1,0.5283,0.3401,0.4342,19.023,46.7723,4.56,4.36
Mistral 7B,2bit 5% Spqr,2,0.5388,0.3318,0.4353,18.7503,48.5991,4.6,4.36
Mistral 7B,2bit 5% Spqr,3,0.5317,0.3415,0.4366,17.9137,47.1907,4.6,4.36
Mistral 7B,2bit 10% Fast Spqr,1,0.6672,0.424,0.5456,12.2315,47.6828,4.5,6.34
Mistral 7B,2bit 10% Fast Spqr,2,0.671,0.4074,0.5392,14.1873,50.6556,4.59,6.34
